activity_id,lead_id,campaign_id,activity_type,activity_date,utm_source
1,6719,12,Unsubscribe,2021-09-07T20:57:00,
2,6538,75,Email Open,2023-08-26T05:45:00,
3,2137,95,Webinar Attended,2021-03-25T05:26:00,
4,2315,52,Ad Click,2024-02-07T18:34:00,direct
5,7042,192,Email Click,2020-12-01T13:42:00,
6,7898,30,Content Download,2023-12-04T08:51:00,
7,3292,183,Content Download,2024-04-18T00:18:00,
8,746,186,Webinar Attended,2024-12-14T00:00:00,
9,4305,135,Email Open,2023-11-04T18:46:00,
10,768,44,Form Fill,2023-01-27T23:49:00,
11,4145,167,,2020-12-07T01:39:00,
12,5972,72,Form Fill,2022-01-28T11:17:00,facebook
13,7744,160,Webinar Registration,2021-02-17T19:03:00,
14,2182,26,Webinar Attended,2020-08-01T19:46:00,
15,4941,197,Form Fill,2021-07-21T22:50:00,
16,2310,114,Page Visit,2021-03-03T15:48:00,twitter
17,2153,183,Webinar Attended,2024-05-10T23:47:00,
18,7950,,Email Open,2021-11-21T23:17:00,
19,1302,172,Ad Click,2021-12-13T06:43:00,twitter
20,5733,183,Email Click,2024-05-04T00:16:00,
21,818,71,Webinar Registration,2024-02-29T01:58:00,
22,4780,53,Page Visit,2021-05-31T16:41:00,direct
23,6823,79,Form Fill,2022-02-26T22:29:00,
24,5061,30,Content Download,2023-10-27T14:24:00,
25,3569,199,Ad Click,2024-08-22T04:06:00,facebook
26,2529,70,Content Download,2020-10-10T16:19:00,
27,5868,,Email Bounce,2020-05-07T21:55:00,
28,1501,128,Unsubscribe,2024-07-09T11:54:00,
29,1113,3,,2024-07-03T22:07:00,
30,1879,143,Email Open,2023-11-02T05:26:00,
31,5833,37,Page Visit,2024-10-25T06:11:00,direct
32,4115,37,Email Open,2024-10-29T19:04:00,
33,3025,176,Webinar Registration,2023-02-25T17:21:00,
34,1856,90,Email Open,2024-04-15T00:50:00,
35,3476,159,Content Download,2020-08-04T02:12:00,
36,7650,136,Email Open,2024-07-29T18:52:00,
37,633,76,Email Open,2021-05-29T09:16:00,
38,2945,155,Form Fill,2024-09-28T13:52:00,
39,3873,95,Email Bounce,2021-03-14T07:12:00,
40,1685,21,Ad Click,2024-08-24T09:54:00,google
41,4757,106,,2024-10-15T02:02:00,
42,6812,19,Email Open,2024-02-12T12:22:00,
43,4095,93,Email Open,2024-11-27T13:46:00,
44,4193,135,Email Open,2023-11-13T17:40:00,
45,4768,143,Email Open,2023-11-13T07:19:00,
46,6367,13,Content Download,2024-05-18T05:13:00,
47,6136,113,Webinar Attended,2024-11-11T02:14:00,
48,6349,4,Form Fill,2024-09-09T01:40:00,referral
49,3187,56,Email Open,2023-08-10T21:48:00,
50,6877,165,Webinar Registration,2022-04-13T12:32:00,
51,3618,111,Page Visit,2030-03-15T14:30:00,referral
52,3382,64,Page Visit,2022-02-10T09:36:00,twitter
53,3104,64,Email Click,2022-02-18T14:55:00,
54,588,130,Page Visit,2022-06-29T13:34:00,facebook
55,6864,148,Ad Click,2022-04-17T20:00:00,direct
56,4144,13,Content Download,2024-05-11T02:43:00,
57,6066,128,Form Fill,2024-06-27T21:46:00,facebook
58,1103,66,Unsubscribe,2024-12-28T12:10:00,
59,2815,75,Page Visit,2023-08-27T17:36:00,linkedin
60,2246,132,Webinar Attended,2023-08-14T21:06:00,
