lead_id,record_type,issue_type,field_name,severity,recommended_action,issue_detail
25,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
56,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
57,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
60,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
96,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
114,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
117,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
120,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
126,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
157,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
175,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
194,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
210,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
245,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
250,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
298,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
301,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
311,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
343,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
372,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
378,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
399,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
405,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
417,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
455,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
510,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
523,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
525,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
565,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
568,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
596,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
608,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
614,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
656,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
672,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
697,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
708,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
719,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
721,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
728,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
731,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
750,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
757,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
761,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
768,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
775,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
779,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
785,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
796,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
835,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
837,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
865,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
869,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
878,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
891,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
898,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
902,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
905,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
928,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
930,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
940,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
942,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
948,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
993,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
1026,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
1055,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
1095,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
1112,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
1115,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
1129,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
1132,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
1145,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
1156,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
1165,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
1167,lead,Email invalide ou manquant,email,Haute,Corriger l'email ou exclure le lead des campagnes email.,
